iter	MultiClass
0	1.357875846
1	1.332530599
2	1.313869383
3	1.291502783
4	1.267679332
5	1.24893115
6	1.231635801
7	1.210692604
8	1.189677467
9	1.172498232
10	1.157460366
11	1.139017991
12	1.125252083
13	1.115705359
14	1.099231248
15	1.085375489
16	1.072408163
17	1.058268765
18	1.046492433
19	1.035092968
20	1.022487965
21	1.012925071
22	1.000510052
23	0.9898189341
24	0.9808817996
25	0.9721935244
26	0.9631707605
27	0.9552566242
28	0.9466936312
29	0.9379245733
30	0.9247271612
31	0.9198832993
32	0.9121628869
33	0.9047103312
34	0.894381436
35	0.8889432098
36	0.880894424
37	0.8735205948
38	0.8661551937
39	0.8591066303
40	0.8508271958
41	0.8439775135
42	0.8358271283
43	0.8275708476
44	0.8218932002
45	0.8135899115
46	0.8079686667
47	0.8004980837
48	0.7949291221
49	0.7893958508
50	0.783311383
51	0.7785996833
52	0.7711590441
53	0.7675087119
54	0.764577628
55	0.7606207283
56	0.7555632956
57	0.7496885159
58	0.7430660404
59	0.7379970334
60	0.7331118147
61	0.728571037
62	0.7255383518
63	0.7203782631
64	0.7161522295
65	0.7115533405
66	0.7083165505
67	0.7031343731
68	0.6985652804
69	0.6926843595
70	0.6897293324
71	0.684741297
72	0.6813184731
73	0.6775081885
74	0.6731916591
75	0.6682157445
76	0.6640581308
77	0.6576947028
78	0.653653875
79	0.6509362784
80	0.6468626557
81	0.6440981437
82	0.639908221
83	0.633516229
84	0.6302387251
85	0.627102881
86	0.6222306932
87	0.619490449
88	0.6167532807
89	0.6133636134
90	0.6107647725
91	0.6058906002
92	0.6023142434
93	0.5984720083
94	0.5956922602
95	0.5925390623
96	0.5892753203
97	0.5873611478
98	0.5832486642
99	0.5797171324
100	0.5768167011
101	0.5732421721
102	0.570382443
103	0.5669165896
104	0.5630225646
105	0.5591430872
106	0.5557478057
107	0.5540714005
108	0.5528094819
109	0.5492546888
110	0.546524519
111	0.5434759583
112	0.5407455857
113	0.5377213994
114	0.5347782103
115	0.5323137826
116	0.5306340431
117	0.528344587
118	0.5246763817
119	0.5233101959
120	0.5209865385
121	0.5178430293
122	0.5147374775
123	0.512856523
124	0.509653043
125	0.5074516509
126	0.5045474946
127	0.5014022055
128	0.4979870844
129	0.4954479722
130	0.492528815
131	0.4892741484
132	0.4871141927
133	0.4853663377
134	0.4815755053
135	0.4789427774
136	0.4764875294
137	0.4739612423
138	0.4714392926
139	0.4684145981
140	0.4649748788
141	0.4638294471
142	0.4618935435
143	0.4595949657
144	0.4574661223
145	0.4555688754
146	0.4524733745
147	0.4504544089
148	0.4478662434
149	0.4456343551
150	0.4439606572
151	0.4418002726
152	0.4403862259
153	0.43767564
154	0.4354227045
155	0.4332824301
156	0.4311186088
157	0.4280348016
158	0.4261392006
159	0.4242906975
160	0.4218069934
161	0.4206128979
162	0.4189617785
163	0.417024023
164	0.4152825101
165	0.4143736695
166	0.413209468
167	0.4104935981
168	0.4077705257
169	0.4051321185
170	0.4035560843
171	0.4019996618
172	0.4004017002
173	0.3992872162
174	0.398092797
175	0.3958919459
176	0.3949070222
177	0.3924635618
178	0.3903471128
179	0.3887488887
180	0.386590915
181	0.3851320115
182	0.382713855
183	0.3813795893
184	0.3798027623
185	0.3780996436
186	0.3766262524
187	0.3752641415
188	0.3739490109
189	0.3720340441
190	0.3713463855
191	0.3697464702
192	0.3682529381
193	0.3668251438
194	0.3657586649
195	0.3647619011
196	0.3625503
197	0.3609209684
198	0.359363058
199	0.3576766213
200	0.3564217089
201	0.3551908945
202	0.3540652931
203	0.3524841109
204	0.3507884309
205	0.3484980704
206	0.3469612187
207	0.3455439749
208	0.3442786431
209	0.3432060633
210	0.3415530614
211	0.3403365052
212	0.3390633075
213	0.3375666688
214	0.3361088652
215	0.3351181651
216	0.3337052345
217	0.3327697775
218	0.3309012017
219	0.3300859607
220	0.3281859407
221	0.3265916602
222	0.3256472997
223	0.3240999816
224	0.3230696301
225	0.3221792452
226	0.3214828266
227	0.3203908544
228	0.3193817996
229	0.317945395
230	0.3167752703
231	0.3160211751
232	0.3147108759
233	0.3134391307
234	0.311798933
235	0.310651702
236	0.3089169112
237	0.3075020908
238	0.3064210875
239	0.3050225192
240	0.3035597375
241	0.3021661122
242	0.3007877917
243	0.3000117062
244	0.2987513385
245	0.2975632888
246	0.2970625809
247	0.2962471553
248	0.294658697
249	0.293222469
250	0.2917154804
251	0.2901459999
252	0.2890824254
253	0.2885615201
254	0.2867641825
255	0.2854802978
256	0.2837927691
257	0.2825588481
258	0.2812800572
259	0.2800824512
260	0.2789623924
261	0.2776062471
262	0.2766657781
263	0.2754400554
264	0.2741075276
265	0.2724763948
266	0.2711291384
267	0.2707061375
268	0.2696227877
269	0.26804473
270	0.2668836486
271	0.2661384678
272	0.264656181
273	0.2637631693
274	0.2625909617
275	0.2618684132
276	0.2604092601
277	0.2593382949
278	0.2584124363
279	0.2575582197
280	0.2568624742
281	0.2563532721
282	0.2550624499
283	0.2541259568
284	0.2531212008
285	0.2521614358
286	0.2508407661
287	0.2499594971
288	0.2485340111
289	0.2474228698
290	0.2468034504
291	0.2459863753
292	0.2449121561
293	0.2440373999
294	0.2435123736
295	0.2425499749
296	0.24197553
297	0.2411607822
298	0.2407099277
299	0.2395994946
300	0.2387729666
301	0.2379898774
302	0.2373652561
303	0.2368531819
304	0.2361418785
305	0.235309774
306	0.2346165791
307	0.2332411622
308	0.2321544759
309	0.2313040529
310	0.2306976383
311	0.2296036363
312	0.229145411
313	0.2283903618
314	0.2278458252
315	0.2270358771
316	0.2263354791
317	0.2256092037
318	0.2247517282
319	0.2237931405
320	0.2230051232
321	0.2223535426
322	0.2216673743
323	0.2210068238
324	0.2203419241
325	0.2193798734
326	0.21839591
327	0.217432065
328	0.2165798211
329	0.2157835603
330	0.2151409949
331	0.2145913639
332	0.2137893602
333	0.2130548172
334	0.2124240527
335	0.2113321603
336	0.2104145759
337	0.2095569662
338	0.2090878047
339	0.208572196
340	0.2079153623
341	0.2070791227
342	0.2062314481
343	0.2052526841
344	0.2041868715
345	0.2035071317
346	0.2028325812
347	0.2022143681
348	0.2015455019
349	0.2006920716
350	0.2003503274
351	0.1997361836
352	0.1989669076
353	0.1981154794
354	0.1975495043
355	0.1966550044
356	0.1961154193
357	0.1951788017
358	0.194677611
359	0.1939359943
360	0.1931392418
361	0.1923664299
362	0.1918176789
363	0.1912777888
364	0.1906400958
365	0.1900003693
366	0.1891811394
367	0.1887118998
368	0.1879901582
369	0.1876148664
370	0.1867816931
371	0.1860220322
372	0.1855797067
373	0.1852065815
374	0.1849915763
375	0.1843693447
376	0.1833245147
377	0.1828096091
378	0.1822028063
379	0.1819352839
380	0.181430426
381	0.180747793
382	0.1798373912
383	0.1791692539
384	0.1784756954
385	0.1780364375
386	0.177696164
387	0.1770704848
388	0.1766207383
389	0.1760583639
390	0.17547834
391	0.174785378
392	0.1741716965
393	0.1734672657
394	0.1732611494
395	0.1728514585
396	0.172401547
397	0.1721082419
398	0.1713694768
399	0.1708534397
400	0.1702701406
401	0.1697029397
402	0.1691167022
403	0.1688026938
404	0.1682361282
405	0.1675641407
406	0.1669587037
407	0.1665509628
408	0.1660623286
409	0.1654375549
410	0.1652084484
411	0.1646902967
412	0.1642557861
413	0.1641115667
414	0.1636300682
415	0.1632343417
416	0.162764784
417	0.1621781545
418	0.1616567386
419	0.1613755631
420	0.160857005
421	0.1601573694
422	0.1596531661
423	0.159103655
424	0.1586044915
425	0.1580253704
426	0.1572029755
427	0.1565552708
428	0.1560761716
429	0.1553752676
430	0.1549722848
431	0.1543855126
432	0.1541582932
433	0.153635758
434	0.152963748
435	0.1523190375
436	0.1519426678
437	0.1511813868
438	0.1507872428
439	0.15021394
440	0.1498624979
441	0.1494681413
442	0.149139129
443	0.1488157702
444	0.1483526505
445	0.1477161232
446	0.147295205
447	0.1469099402
448	0.1463646248
449	0.1462215296
450	0.1457853377
451	0.1455406574
452	0.1452269823
453	0.1446424467
454	0.1441451266
455	0.1437155793
456	0.1433785226
457	0.1428427659
458	0.1425069638
459	0.142298996
460	0.1417797737
461	0.1413770429
462	0.1410486
463	0.1407644395
464	0.1403738131
465	0.1398139394
466	0.1394165842
467	0.1389890354
468	0.13842401
469	0.1380518432
470	0.1377739446
471	0.1374853288
472	0.1371872669
473	0.1369423917
