iter	Passed	Remaining
0	6	6215
1	11	5666
2	16	5572
3	22	5671
4	28	5593
5	33	5553
6	38	5504
7	44	5479
8	50	5523
9	57	5681
10	65	5888
11	71	5919
12	77	5921
13	83	5880
14	91	5997
15	96	5927
16	101	5874
17	107	5838
18	112	5804
19	118	5788
20	123	5763
21	129	5769
22	135	5737
23	141	5746
24	146	5722
25	152	5694
26	157	5686
27	163	5662
28	169	5686
29	176	5703
30	181	5682
31	187	5674
32	192	5650
33	198	5626
34	203	5611
35	208	5592
36	214	5574
37	219	5559
38	224	5543
39	230	5534
40	236	5522
41	242	5533
42	248	5527
43	255	5542
44	260	5534
45	266	5516
46	271	5502
47	276	5491
48	282	5487
49	287	5469
50	293	5466
51	299	5456
52	304	5446
53	310	5435
54	316	5430
55	321	5425
56	327	5418
57	333	5408
58	339	5413
59	344	5402
60	351	5403
61	357	5402
62	363	5404
63	370	5417
64	376	5419
65	382	5411
66	387	5401
67	393	5393
68	398	5380
69	404	5372
70	410	5372
71	417	5379
72	423	5376
73	429	5368
74	434	5359
75	440	5349
76	445	5343
77	452	5345
78	457	5337
79	463	5328
80	469	5326
81	475	5319
82	480	5310
83	485	5297
84	490	5284
85	496	5275
86	501	5265
87	507	5256
88	512	5248
89	518	5239
90	523	5230
91	529	5221
92	534	5213
93	540	5213
94	546	5204
95	551	5195
96	557	5188
97	565	5206
98	571	5202
99	576	5192
100	582	5185
101	588	5179
102	593	5171
103	600	5172
104	605	5164
105	611	5155
106	617	5149
107	622	5139
108	628	5133
109	633	5127
110	639	5123
111	645	5118
112	651	5111
113	657	5108
114	663	5108
115	670	5110
116	676	5105
117	681	5096
118	687	5088
119	692	5080
120	698	5071
121	704	5068
122	707	5045
123	713	5042
124	718	5032
125	724	5025
126	729	5016
127	735	5010
128	741	5005
129	746	4997
130	752	4990
131	757	4983
132	763	4975
133	777	5024
134	784	5024
135	791	5031
136	799	5033
137	805	5032
138	812	5031
139	818	5025
140	823	5016
141	829	5010
142	834	5000
143	839	4990
144	844	4980
145	850	4972
146	855	4963
147	860	4954
148	865	4943
149	871	4936
150	877	4935
151	886	4947
152	892	4942
153	898	4935
154	904	4929
155	909	4922
156	915	4916
157	922	4917
158	930	4921
159	936	4918
160	943	4915
161	949	4910
162	955	4907
163	961	4903
164	969	4906
165	976	4907
166	983	4905
167	989	4901
168	995	4893
169	1000	4884
170	1005	4875
171	1011	4867
172	1016	4858
173	1021	4849
174	1027	4842
175	1032	4835
176	1038	4826
177	1043	4817
178	1048	4810
179	1056	4813
180	1061	4804
181	1067	4795
182	1072	4788
183	1077	4779
184	1084	4775
185	1089	4767
186	1094	4759
187	1100	4751
188	1105	4742
189	1110	4735
190	1116	4726
191	1121	4718
192	1126	4709
193	1131	4700
194	1137	4694
195	1142	4687
196	1149	4684
197	1154	4677
198	1160	4670
199	1165	4661
200	1170	4653
201	1176	4645
202	1181	4637
203	1186	4629
204	1192	4625
205	1198	4619
206	1203	4612
207	1209	4604
208	1214	4595
209	1219	4588
210	1225	4581
211	1230	4575
212	1236	4567
213	1241	4559
214	1246	4551
215	1252	4544
216	1257	4537
217	1263	4533
218	1268	4524
219	1273	4515
220	1279	4510
221	1285	4505
222	1291	4500
223	1297	4493
224	1302	4485
225	1307	4479
226	1313	4473
227	1320	4470
228	1327	4468
229	1333	4464
230	1339	4458
231	1344	4451
232	1350	4445
233	1355	4438
234	1361	4431
235	1366	4424
236	1372	4419
237	1378	4412
238	1383	4406
239	1389	4399
240	1394	4393
241	1400	4386
242	1405	4379
243	1411	4372
244	1417	4366
245	1422	4361
246	1427	4353
247	1433	4346
248	1439	4340
249	1444	4334
250	1450	4328
251	1455	4321
252	1461	4314
253	1466	4308
254	1472	4302
255	1478	4295
256	1483	4289
257	1488	4282
258	1494	4276
259	1501	4273
260	1507	4268
261	1513	4262
262	1518	4255
263	1524	4249
264	1529	4242
265	1535	4235
266	1540	4230
267	1547	4225
268	1552	4219
269	1557	4212
270	1563	4206
271	1569	4200
272	1574	4193
273	1580	4186
274	1585	4180
275	1591	4175
276	1598	4170
277	1604	4166
278	1610	4162
279	1616	4157
280	1622	4150
281	1628	4145
282	1633	4139
283	1639	4133
284	1644	4125
285	1650	4119
286	1655	4113
287	1661	4107
288	1667	4101
289	1672	4095
290	1679	4092
291	1685	4087
292	1691	4081
293	1696	4074
294	1702	4068
295	1707	4062
296	1713	4056
297	1719	4050
298	1725	4044
299	1730	4038
300	1736	4032
301	1742	4027
302	1747	4019
303	1753	4015
304	1758	4007
305	1764	4001
306	1769	3994
307	1775	3988
308	1780	3982
309	1786	3977
310	1792	3971
311	1799	3967
312	1805	3963
313	1813	3961
314	1820	3959
315	1828	3957
316	1840	3965
317	1848	3964
318	1858	3966
319	1867	3968
320	1876	3969
321	1885	3969
322	1898	3978
323	1918	4002
324	1924	3996
325	1930	3991
326	1937	3988
327	1944	3983
328	1950	3978
329	1956	3972
330	1963	3968
331	1970	3963
332	1979	3964
333	1991	3970
334	2004	3979
335	2015	3983
336	2023	3981
337	2030	3977
338	2039	3976
339	2048	3976
340	2055	3973
341	2063	3969
342	2072	3969
343	2081	3968
344	2090	3969
345	2098	3966
346	2108	3967
347	2117	3967
348	2126	3966
349	2135	3965
350	2143	3963
351	2152	3962
352	2159	3958
353	2184	3986
354	2191	3982
355	2200	3981
356	2208	3977
357	2218	3977
358	2225	3973
359	2234	3972
360	2241	3968
361	2249	3965
362	2256	3960
363	2264	3956
364	2270	3949
365	2275	3942
366	2283	3938
367	2292	3936
368	2299	3932
369	2305	3926
370	2311	3918
371	2317	3912
372	2323	3905
373	2329	3898
374	2335	3892
375	2341	3886
376	2347	3880
377	2354	3873
378	2360	3867
379	2367	3862
380	2374	3857
381	2380	3851
382	2386	3845
383	2394	3840
384	2400	3835
385	2408	3831
386	2415	3825
387	2421	3819
388	2427	3813
389	2434	3807
390	2440	3801
391	2446	3794
392	2452	3788
393	2458	3781
394	2465	3775
395	2471	3769
396	2477	3762
397	2483	3757
398	2490	3751
399	2496	3745
400	2502	3738
401	2508	3731
402	2515	3725
403	2521	3719
404	2527	3713
405	2533	3706
406	2539	3699
407	2545	3693
408	2551	3686
409	2556	3679
410	2563	3673
411	2569	3666
412	2576	3661
413	2582	3655
414	2588	3648
415	2595	3643
416	2600	3635
417	2606	3628
418	2612	3622
419	2618	3616
420	2629	3616
421	2636	3610
422	2645	3608
423	2652	3602
424	2659	3597
425	2665	3591
426	2673	3587
427	2681	3583
428	2689	3579
429	2696	3574
430	2703	3569
431	2711	3565
432	2722	3565
433	2735	3567
434	2744	3564
435	2754	3563
436	2763	3560
437	2773	3558
438	2784	3558
439	2793	3555
440	2802	3552
441	2811	3549
442	2820	3546
443	2831	3545
444	2839	3541
445	2845	3535
446	2853	3529
447	2860	3524
448	2867	3518
449	2874	3513
450	2882	3508
451	2889	3503
452	2898	3499
453	2906	3494
454	2913	3489
455	2921	3485
456	2932	3484
457	2939	3479
458	2948	3475
459	2957	3471
460	2966	3468
461	2975	3465
462	2983	3460
463	2991	3455
464	2998	3449
465	3004	3443
466	3011	3437
467	3019	3432
468	3027	3427
469	3034	3422
470	3041	3416
471	3048	3410
472	3056	3405
473	3062	3398
474	3070	3393
475	3077	3387
476	3084	3382
477	3092	3376
478	3099	3370
479	3106	3365
480	3114	3361
481	3121	3355
482	3129	3349
483	3137	3345
484	3144	3338
485	3152	3334
486	3159	3328
487	3167	3323
488	3176	3319
489	3186	3316
490	3195	3312
491	3204	3308
492	3212	3304
493	3221	3299
494	3230	3296
495	3239	3292
496	3249	3288
497	3257	3283
498	3267	3280
499	3276	3276
500	3284	3271
501	3292	3265
502	3300	3261
503	3311	3258
504	3319	3253
505	3328	3249
506	3338	3246
507	3345	3240
508	3356	3237
509	3368	3236
510	3376	3231
511	3385	3226
512	3394	3222
513	3401	3216
514	3417	3218
515	3431	3219
516	3448	3222
517	3470	3229
518	3489	3234
519	3508	3238
520	3534	3249
521	3557	3257
522	3584	3269
523	3603	3273
524	3621	3276
525	3633	3274
526	3646	3273
527	3659	3271
528	3666	3264
529	3676	3260
530	3691	3260
531	3702	3256
532	3713	3253
533	3724	3250
534	3742	3252
535	3755	3250
536	3768	3249
537	3781	3247
538	3794	3245
539	3807	3243
540	3818	3239
541	3827	3234
542	3838	3230
543	3848	3226
544	3861	3224
545	3874	3221
546	3883	3216
547	3895	3213
548	3906	3209
549	3916	3204
550	3927	3200
551	3939	3196
552	3947	3191
553	3959	3187
554	3970	3183
555	3980	3178
556	3991	3174
557	4000	3169
558	4011	3164
559	4023	3161
560	4034	3156
561	4045	3152
562	4055	3147
563	4065	3143
564	4079	3141
565	4092	3138
566	4105	3135
567	4115	3130
568	4129	3128
569	4138	3122
570	4149	3117
571	4161	3113
572	4172	3109
573	4183	3104
574	4192	3098
575	4200	3092
576	4209	3086
577	4218	3079
578	4226	3073
579	4234	3066
580	4242	3059
581	4251	3053
582	4259	3046
583	4268	3040
584	4276	3033
585	4283	3026
586	4293	3020
587	4301	3013
588	4312	3009
589	4323	3004
590	4330	2996
591	4337	2989
592	4345	2982
593	4353	2975
594	4366	2972
595	4379	2968
596	4389	2962
597	4397	2955
598	4405	2949
599	4414	2942
600	4423	2936
601	4432	2930
602	4441	2924
603	4451	2918
604	4460	2912
605	4469	2905
606	4478	2899
607	4487	2893
608	4495	2886
609	4503	2879
610	4511	2872
611	4518	2864
612	4526	2857
613	4533	2849
614	4541	2842
615	4548	2835
616	4556	2828
617	4564	2821
618	4571	2813
619	4578	2806
620	4585	2798
621	4592	2790
622	4599	2783
623	4606	2775
624	4612	2767
625	4618	2759
626	4626	2752
627	4632	2744
628	4639	2736
629	4645	2728
630	4651	2720
631	4658	2712
632	4664	2704
633	4670	2696
634	4676	2688
635	4682	2679
636	4689	2672
637	4695	2664
638	4702	2656
639	4708	2648
640	4714	2640
641	4720	2632
642	4727	2624
643	4733	2616
644	4739	2608
645	4746	2600
646	4752	2593
647	4759	2585
648	4766	2577
649	4771	2569
650	4777	2561
651	4783	2553
652	4789	2545
653	4795	2537
654	4802	2529
655	4809	2521
656	4815	2513
657	4821	2506
658	4827	2497
659	4833	2489
660	4839	2482
661	4845	2474
662	4852	2466
663	4858	2458
664	4864	2450
665	4870	2442
666	4876	2434
667	4882	2426
668	4889	2419
669	4895	2411
670	4901	2403
671	4907	2395
672	4916	2388
673	4923	2381
674	4928	2373
675	4934	2365
676	4940	2357
677	4946	2349
678	4952	2341
679	4958	2333
680	4964	2325
681	4971	2317
682	4976	2309
683	4983	2302
684	4991	2295
685	5000	2288
686	5007	2281
687	5014	2274
688	5021	2266
689	5028	2259
690	5036	2252
691	5043	2244
692	5051	2237
693	5058	2230
694	5066	2223
695	5073	2216
696	5080	2208
697	5087	2201
698	5094	2193
699	5101	2186
700	5110	2179
701	5117	2172
702	5124	2165
703	5132	2157
704	5139	2150
705	5147	2143
706	5154	2136
707	5163	2129
708	5170	2122
709	5177	2114
710	5185	2107
711	5192	2100
712	5199	2092
713	5206	2085
714	5213	2078
715	5222	2071
716	5231	2064
717	5239	2057
718	5248	2051
719	5257	2044
720	5264	2036
721	5268	2028
722	5275	2021
723	5281	2013
724	5288	2006
725	5296	1998
726	5303	1991
727	5310	1983
728	5317	1976
729	5324	1969
730	5333	1962
731	5341	1955
732	5351	1949
733	5361	1943
734	5370	1936
735	5379	1929
736	5387	1922
737	5395	1915
738	5402	1908
739	5410	1900
740	5417	1893
741	5424	1886
742	5431	1878
743	5439	1871
744	5446	1864
745	5453	1856
746	5460	1849
747	5467	1842
748	5476	1835
749	5484	1828
750	5493	1821
751	5500	1814
752	5508	1806
753	5515	1799
754	5523	1792
755	5530	1785
756	5537	1777
757	5545	1770
758	5552	1763
759	5559	1755
760	5566	1748
761	5573	1740
762	5580	1733
763	5588	1726
764	5595	1718
765	5602	1711
766	5609	1704
767	5626	1699
768	5634	1692
769	5642	1685
770	5657	1680
771	5668	1674
772	5678	1667
773	5688	1660
774	5697	1653
775	5704	1646
776	5714	1640
777	5723	1633
778	5734	1626
779	5742	1619
780	5750	1612
781	5757	1604
782	5764	1597
783	5771	1590
784	5779	1582
785	5786	1575
786	5793	1568
787	5802	1561
788	5811	1554
789	5822	1547
790	5830	1540
791	5839	1533
792	5848	1526
793	5855	1519
794	5864	1512
795	5871	1504
796	5880	1497
797	5887	1490
798	5896	1483
799	5905	1476
800	5912	1469
801	5921	1461
802	5928	1454
803	5936	1447
804	5944	1439
805	5952	1432
806	5961	1425
807	5968	1418
808	5976	1410
809	5983	1403
810	5991	1396
811	5997	1388
812	6003	1380
813	6009	1373
814	6017	1365
815	6024	1358
816	6031	1351
817	6040	1343
818	6047	1336
819	6057	1329
820	6069	1323
821	6080	1316
822	6090	1309
823	6099	1302
824	6107	1295
825	6115	1288
826	6121	1280
827	6128	1272
828	6135	1265
829	6142	1258
830	6149	1250
831	6157	1243
832	6165	1235
833	6172	1228
834	6179	1221
835	6186	1213
836	6194	1206
837	6201	1198
838	6208	1191
839	6216	1184
840	6222	1176
841	6229	1169
842	6237	1161
843	6244	1154
844	6251	1146
845	6258	1139
846	6265	1131
847	6274	1124
848	6287	1118
849	6307	1113
850	6316	1106
851	6324	1098
852	6331	1091
853	6338	1083
854	6345	1076
855	6353	1068
856	6362	1061
857	6373	1054
858	6383	1047
859	6405	1042
860	6426	1037
861	6443	1031
862	6464	1026
863	6505	1024
864	6531	1019
865	6542	1012
866	6556	1005
867	6571	999
868	6594	994
869	6642	992
870	6714	994
871	6737	989
872	6756	982
873	6781	977
874	6803	971
875	6817	964
876	6825	957
877	6834	949
878	6850	943
879	6882	938
880	6899	931
881	6911	924
882	6920	916
883	6930	909
884	6938	901
885	6948	894
886	6956	886
887	6967	878
888	6977	871
889	6983	863
890	7002	856
891	7009	848
892	7015	840
893	7021	832
894	7027	824
895	7034	816
896	7040	808
897	7046	800
898	7053	792
899	7058	784
900	7064	776
901	7070	768
902	7076	760
903	7082	752
904	7094	744
905	7103	736
906	7110	729
907	7117	721
908	7123	713
909	7129	705
910	7135	697
911	7140	689
912	7147	681
913	7154	673
914	7160	665
915	7166	657
916	7172	649
917	7178	641
918	7184	633
919	7190	625
920	7196	617
921	7202	609
922	7209	601
923	7214	593
924	7220	585
925	7228	577
926	7238	569
927	7246	562
928	7253	554
929	7263	546
930	7272	538
931	7283	531
932	7293	523
933	7302	516
934	7309	508
935	7316	500
936	7327	492
937	7335	484
938	7345	477
939	7358	469
940	7365	461
941	7372	453
942	7380	446
943	7387	438
944	7398	430
945	7408	422
946	7415	414
947	7421	407
948	7433	399
949	7441	391
950	7451	383
951	7458	376
952	7462	368
953	7468	360
954	7473	352
955	7480	344
956	7485	336
957	7491	328
958	7498	320
959	7504	312
960	7513	304
961	7519	297
962	7528	289
963	7535	281
964	7542	273
965	7551	265
966	7559	257
967	7568	250
968	7578	242
969	7584	234
970	7590	226
971	7601	218
972	7610	211
973	7624	203
974	7637	195
975	7650	188
976	7662	180
977	7668	172
978	7676	164
979	7683	156
980	7693	149
981	7705	141
982	7717	133
983	7725	125
984	7731	117
985	7739	109
986	7746	102
987	7754	94
988	7762	86
989	7769	78
990	7775	70
991	7783	62
992	7790	54
993	7800	47
994	7807	39
995	7813	31
996	7822	23
997	7828	15
998	7837	7
999	7844	0
